LOADED 12 artifacts (4 anchors from f10_caliber, sha-asserted; 8 new); device sha256 8684d9a9f43a8d15beaa559cd12bd8f2977a3d088b01b93835f60f2bbf98a53d; identical anchor set n=10038 first 2022-01-31 00:00 last 2026-08-30 20:00
window sizes: 2024=2196, 2025=2190, 2026<=08-10=1332, 2024->26=5718, 2025->26=3522
UNITS: g = net_ex/gross_total [bps/anchor per unit gross]; NAV %/yr at L=2 (arithmetic) = mean g × 6 anchors/day × 365 days × 2 ÷ 1e4 × 100 = mean g × 43.8; 2×DD %NAV = maxDD(bps of g) × 2 / 100
### §B.1a Levels — PRIMARY per-gross caliber (g = net_ex/gross_total, bps/anchor per unit gross); arm d30_n2_c42; ⚠ = negative mean; NAV %/yr @2× = mean × 43.8 (per-gross only)

| φ | seed | window | mean bps/anchor | Sharpe (anchor) | maxDD bps | 2×DD %NAV | turnover/gross | NAV %/yr @2× | gross_total | w3_king | n |
| 0.00 (对照) | s42 | -0.465 ± 0.217 [-0.888,-0.052] 0.01 | -0.281 ± 0.205 [-0.686,+0.116] 0.08 | -0.509 ± 0.208 [-0.932,-0.114] 0.01 | -0.405 ± 0.126 [-0.658,-0.154] 0.00 | -0.367 ± 0.151 [-0.657,-0.079] 0.01 | -0.79 / -0.64 | -31.4% / -38.0% |
| 0.00 (对照) | s2027 | -0.496 ± 0.203 [-0.900,-0.107] 0.00 | -0.398 ± 0.227 [-0.832,+0.050] 0.04 | -0.463 ± 0.206 [-0.880,-0.082] 0.01 | -0.451 ± 0.128 [-0.706,-0.197] 0.00 | -0.423 ± 0.163 [-0.729,-0.100] 0.01 | -0.87 / -0.73 | -27.1% / -31.9% |
| 0.25 | s42 | -0.210 ± 0.116 [-0.439,+0.013] 0.03 | -0.058 ± 0.121 [-0.309,+0.182] 0.31 | -0.222 ± 0.105 [-0.429,-0.016] 0.02 | -0.154 ± 0.071 [-0.294,-0.013] 0.01 | -0.120 ± 0.085 [-0.284,+0.053] 0.07 | -0.32 / -0.23 | -16.9% / -21.0% |
| 0.25 | s2027 | -0.224 ± 0.107 [-0.437,-0.017] 0.02 | -0.157 ± 0.128 [-0.405,+0.094] 0.11 | -0.173 ± 0.118 [-0.413,+0.054] 0.07 | -0.186 ± 0.071 [-0.328,-0.043] 0.00 | -0.163 ± 0.093 [-0.343,+0.014] 0.04 | -0.38 / -0.29 | -13.6% / -16.3% |
| 0.35 | s42 | -0.078 ± 0.065 [-0.206,+0.047] 0.12 | -0.008 ± 0.066 [-0.144,+0.121] 0.47 | -0.100 ± 0.061 [-0.222,+0.018] 0.05 | -0.057 ± 0.040 [-0.134,+0.022] 0.08 | -0.043 ± 0.048 [-0.135,+0.055] 0.19 | -0.13 / -0.09 | -9.5% / -11.9% |
| 0.35 | s2027 | -0.104 ± 0.058 [-0.218,+0.006] 0.03 | -0.065 ± 0.072 [-0.211,+0.077] 0.19 | -0.080 ± 0.091 [-0.254,+0.106] 0.18 | -0.083 ± 0.042 [-0.165,-0.000] 0.03 | -0.070 ± 0.058 [-0.181,+0.044] 0.12 | -0.18 / -0.14 | -7.4% / -8.8% |
| 0.55 | s42 | +0.065 ± 0.070 [-0.071,+0.200] 0.82 | +0.036 ± 0.084 [-0.128,+0.206] 0.67 | +0.133 ± 0.063 [+0.012,+0.259] 0.99 | +0.070 ± 0.045 [-0.022,+0.158] 0.94 | +0.073 ± 0.059 [-0.043,+0.186] 0.88 | +0.17 / +0.16 | +12.3% / +15.4% |
| 0.55 | s2027 | +0.067 ± 0.066 [-0.060,+0.196] 0.83 | +0.083 ± 0.087 [-0.087,+0.256] 0.82 | +0.139 ± 0.097 [-0.037,+0.335] 0.93 | +0.090 ± 0.049 [-0.007,+0.187] 0.96 | +0.104 ± 0.069 [-0.032,+0.236] 0.93 | +0.21 / +0.21 | +8.9% / +10.2% |
| 0.65 | s42 | +0.159 ± 0.148 [-0.124,+0.442] 0.85 | +0.099 ± 0.192 [-0.276,+0.490] 0.69 | +0.195 ± 0.104 [-0.015,+0.395] 0.96 | +0.144 ± 0.098 [-0.052,+0.337] 0.92 | +0.136 ± 0.129 [-0.116,+0.383] 0.83 | +0.37 / +0.34 | +25.5% / +31.6% |
| 0.65 | s2027 | +0.143 ± 0.138 [-0.130,+0.413] 0.84 | +0.135 ± 0.184 [-0.237,+0.494] 0.77 | +0.149 ± 0.132 [-0.098,+0.417] 0.87 | +0.141 ± 0.096 [-0.046,+0.327] 0.93 | +0.140 ± 0.131 [-0.125,+0.392] 0.85 | +0.36 / +0.33 | +17.6% / +19.6% |

### §B.1b Levels — SECONDARY device scale (net_ex, bps/anchor, unit replay book); arm d30_n2_c42; ⚠ = negative mean; NAV %/yr @2× = mean × 43.8 (per-gross only)

| φ | seed | window | mean bps/anchor | Sharpe (anchor) | maxDD bps | 2×DD %NAV | turnover/gross | NAV %/yr @2× | gross_total | w3_king | n |
|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.00 (无F10, 对照) | s42 | 2024 | -0.051 ⚠ | -0.15 | 1442 | — | 0.0707 | — | 0.682 | 0.723 | 2196 |
| 0.00 (无F10, 对照) | s42 | 2025 | +0.177 | +0.43 | 833 | — | 0.0514 | — | 0.678 | 0.742 | 2190 |
| 0.00 (无F10, 对照) | s42 | 2026<=08-10 | +2.224 | +4.39 | 324 | — | 0.0331 | — | 0.819 | 0.388 | 1332 |
| 0.00 (无F10, 对照) | s42 | 2024->26 | +0.566 | +1.39 | 1442 | — | 0.0545 | — | 0.712 | 0.652 | 5718 |
| 0.00 (无F10, 对照) | s42 | 2025->26 | +0.951 | +2.12 | 833 | — | 0.0445 | — | 0.731 | 0.608 | 3522 |
| 0.00 (无F10, 对照) | s2027 | 2024 | -0.051 ⚠ | -0.15 | 1442 | — | 0.0707 | — | 0.682 | 0.723 | 2196 |
| 0.00 (无F10, 对照) | s2027 | 2025 | +0.177 | +0.43 | 833 | — | 0.0514 | — | 0.678 | 0.742 | 2190 |
| 0.00 (无F10, 对照) | s2027 | 2026<=08-10 | +2.224 | +4.39 | 324 | — | 0.0331 | — | 0.819 | 0.388 | 1332 |
| 0.00 (无F10, 对照) | s2027 | 2024->26 | +0.566 | +1.39 | 1442 | — | 0.0545 | — | 0.712 | 0.652 | 5718 |
| 0.00 (无F10, 对照) | s2027 | 2025->26 | +0.951 | +2.12 | 833 | — | 0.0445 | — | 0.731 | 0.608 | 3522 |
| 0.25 | s42 | 2024 | +0.049 | +0.18 | 1079 | — | 0.0812 | — | 0.598 | 0.723 | 2196 |
| 0.25 | s42 | 2025 | +0.234 | +0.69 | 570 | — | 0.0702 | — | 0.570 | 0.742 | 2190 |
| 0.25 | s42 | 2026<=08-10 | +2.385 | +4.72 | 340 | — | 0.0343 | — | 0.795 | 0.388 | 1332 |
| 0.25 | s42 | 2024->26 | +0.664 | +1.82 | 1079 | — | 0.0661 | — | 0.633 | 0.652 | 5718 |
| 0.25 | s42 | 2025->26 | +1.048 | +2.55 | 570 | — | 0.0566 | — | 0.655 | 0.608 | 3522 |
| 0.25 | s2027 | 2024 | +0.066 | +0.24 | 1101 | — | 0.0805 | — | 0.598 | 0.723 | 2196 |
| 0.25 | s2027 | 2025 | +0.247 | +0.72 | 552 | — | 0.0665 | — | 0.579 | 0.742 | 2190 |
| 0.25 | s2027 | 2026<=08-10 | +2.394 | +4.74 | 335 | — | 0.0353 | — | 0.797 | 0.388 | 1332 |
| 0.25 | s2027 | 2024->26 | +0.678 | +1.85 | 1101 | — | 0.0646 | — | 0.637 | 0.652 | 5718 |
| 0.25 | s2027 | 2025->26 | +1.059 | +2.56 | 552 | — | 0.0547 | — | 0.661 | 0.608 | 3522 |
| 0.35 | s42 | 2024 | +0.094 | +0.36 | 941 | — | 0.0859 | — | 0.571 | 0.723 | 2196 |
| 0.35 | s42 | 2025 | +0.230 | +0.72 | 486 | — | 0.0806 | — | 0.533 | 0.742 | 2190 |
