total_pnl_bps,ann_return_pct,sharpe,max_dd_bps,win_rate,n_trades,time_in_mkt_pct,n_bars,pnl_per_trade,T_open,T_close,T_flip,fee_rt,max_hold
-6069.074395689764,-213.49727614746743,-9.804106331562355,6304.84212365339,0.4915809167446211,698,68.68524616496667,12451,-8.694948990959547,1.0,-1.0,1.5,10.0,30
-2543.12613673181,-89.46183020548816,-6.027955678008732,3167.847406712746,0.49548532731376976,1382,28.46357722271303,12451,-1.84017810183199,1.0,-0.3,1.5,3.6,5
-2745.165424375317,-96.56914752842253,-6.229918151044706,3480.5392712797175,0.4952035260565206,1327,30.977431531603887,12451,-2.0687003951584906,1.0,-0.3,1.5,3.6,10
-2534.820972274325,-89.16967198266438,-5.71079961599597,3327.708317472985,0.497058071117933,1319,31.395068669183196,12451,-1.9217748083960007,1.0,-0.3,1.5,3.6,20
-2534.820972274325,-89.16967198266438,-5.71079961599597,3327.708317472985,0.497058071117933,1319,31.395068669183196,12451,-1.9217748083960007,1.0,-0.3,1.5,3.6,30
-3095.9261367318104,-108.90817186479262,-7.3315018680854696,3506.447406712745,0.49294582392776526,1382,28.46357722271303,12451,-2.24017810183199,1.0,-0.3,1.5,4.0,5
-3275.9654243753175,-115.24157544585891,-7.429083441542565,3804.1392712796223,0.49287010630023337,1327,30.977431531603887,12451,-2.468700395158491,1.0,-0.3,1.5,4.0,10
-3062.4209722743253,-107.7295306285563,-6.894187749617609,3649.3083174729836,0.49475569199283703,1319,31.395068669183196,12451,-2.321774808396001,1.0,-0.3,1.5,4.0,20
-3062.4209722743253,-107.7295306285563,-6.894187749617609,3649.3083174729836,0.49475569199283703,1319,31.395068669183196,12451,-2.321774808396001,1.0,-0.3,1.5,4.0,30
-4754.326136731811,-167.24719684270605,-11.218105353233042,4806.027536995788,0.48053047404063204,1382,28.46357722271303,12451,-3.4401781018319904,1.0,-0.3,1.5,5.2,5
-4868.365424375318,-171.25885919816798,-11.007535712799543,4909.811150131089,0.48120300751879697,1327,30.977431531603887,12451,-3.6687003951584916,1.0,-0.3,1.5,5.2,10
-4645.2209722743255,-163.409106566232,-10.42559210896698,4676.46949864968,0.48324379636735737,1319,31.395068669183196,12451,-3.521774808396001,1.0,-0.3,1.5,5.2,20
-4645.2209722743255,-163.409106566232,-10.42559210896698,4676.46949864968,0.48324379636735737,1319,31.395068669183196,12451,-3.521774808396001,1.0,-0.3,1.5,5.2,30
-5583.52613673181,-196.41670933166276,-13.144573834281896,5593.699344133856,0.4762979683972912,1382,28.46357722271303,12451,-4.04017810183199,1.0,-0.3,1.5,5.8,5
-5664.565424375316,-199.26750107432244,-12.783286003753917,5676.244513611361,0.47757324345346125,1327,30.977431531603887,12451,-4.26870039515849,1.0,-0.3,1.5,5.8,10
-5436.620972274325,-191.24889453506984,-12.17806156622601,5448.300061510411,0.47966231772831924,1319,31.395068669183196,12451,-4.121774808396001,1.0,-0.3,1.5,5.8,20
-5436.620972274325,-191.24889453506984,-12.17806156622601,5448.300061510411,0.47966231772831924,1319,31.395068669183196,12451,-4.121774808396001,1.0,-0.3,1.5,5.8,30
